,Unnamed: 0,case,result,get
0,0,453,1,0
1,2,454,-1,-1000
2,3,455,1,-1000
3,4,456,-1,-1000
4,5,457,1,-1000
5,6,458,1,1000
6,7,459,1,1000
7,8,460,-1,-1000
8,9,461,-1,1000
9,10,462,-1,1000
10,11,463,1,-1000
11,12,464,1,1000
12,13,465,-1,-1000
13,14,466,-1,1000
14,15,467,-1,1000
15,16,468,-1,1000
16,17,469,1,-1000
17,18,470,1,1000
18,19,471,1,1000
19,20,472,-1,-1000
20,21,473,-1,1000
21,22,474,-1,1000
22,23,475,1,-1000
23,24,476,-1,-1000
24,25,477,-1,1000
25,26,478,1,-1000
26,27,479,-1,-1000
27,28,0,-1,1000
28,29,1,-1,1000
29,30,2,1,-1000
30,31,3,1,1000
31,32,4,-1,-1000
32,33,5,1,-1000
33,34,6,1,1000
34,35,7,1,1000
35,36,8,1,1000
36,37,9,1,1000
37,38,10,-1,-1000
38,39,11,-1,1000
39,40,12,1,-1000
40,41,13,1,1000
41,42,14,1,1000
42,43,15,-1,-1000
43,44,16,-1,1000
44,45,17,-1,1000
45,46,18,1,-1000
46,47,19,-1,-1000
47,48,20,1,-1000
48,49,21,1,1000
49,50,22,1,1000
50,51,23,-1,-1000
51,52,24,-1,1000
52,53,25,-1,1000
53,54,26,-1,1000
54,55,27,1,-1000
55,56,28,1,1000
56,57,29,1,1000
57,58,30,-1,-1000
58,59,31,1,-1000
59,60,32,1,1000
60,61,33,-1,-1000
61,62,34,-1,1000
62,63,35,1,-1000
63,64,36,1,1000
64,65,37,-1,-1000
65,66,38,1,-1000
66,67,39,1,1000
67,68,40,1,1000
68,69,41,1,1000
69,70,42,-1,-1000
70,71,43,-1,1000
71,72,44,1,-1000
72,73,45,-1,-1000
73,74,46,1,-1000
74,75,47,1,1000
75,76,48,1,1000
76,77,49,-1,-1000
77,78,50,-1,1000
78,79,51,1,-1000
79,80,52,1,1000
80,81,53,1,1000
81,82,54,1,1000
82,83,55,1,1000
83,84,56,-1,-1000
84,85,57,-1,1000
85,86,58,-1,1000
86,87,59,1,-1000
87,88,60,1,1000
88,89,61,-1,-1000
89,90,62,1,-1000
90,91,63,-1,-1000
91,92,64,-1,1000
92,93,65,-1,1000
93,94,66,-1,1000
94,95,67,-1,1000
95,96,68,-1,1000
96,97,131,1,-1000
97,98,132,1,1000
98,99,157,-1,-1000
