,Unnamed: 0,case,result,get
0,0,208,-1,0
1,2,209,1,-1000
2,3,210,-1,-1000
3,4,211,-1,1000
4,5,212,1,-1000
5,6,213,1,1000
6,7,214,1,1000
7,8,215,-1,-1000
8,9,216,1,-1000
9,10,217,1,1000
10,11,218,1,1000
11,12,219,1,1000
12,13,220,1,1000
13,14,221,1,1000
14,15,222,1,1000
15,16,223,1,1000
16,17,224,1,1000
17,18,225,1,1000
18,19,226,1,1000
19,20,227,1,1000
20,21,228,1,1000
21,22,229,1,1000
22,23,230,-1,-1000
23,24,231,-1,1000
24,25,233,-1,1000
25,26,234,-1,1000
26,27,235,-1,1000
27,28,236,-1,1000
28,29,237,-1,1000
29,30,238,-1,1000
30,31,239,1,-1000
31,32,240,-1,-1000
32,33,241,1,-1000
33,34,242,-1,-1000
34,35,243,1,-1000
35,36,244,1,1000
36,37,245,-1,-1000
37,38,246,1,-1000
38,39,247,-1,-1000
39,40,248,1,-1000
40,41,249,1,1000
41,42,250,1,1000
42,43,251,-1,-1000
