,Unnamed: 0,case,result,get,amount
0,0,185,1,0,21000
1,2,186,1,1000,21000
2,3,187,1,1000,21000
3,4,188,1,1000,21000
4,5,189,-1,-1000,21000
5,6,190,-1,1000,21000
6,7,191,-1,1000,21000
7,8,192,-1,1000,21000
8,9,193,1,-1000,21000
9,10,194,1,1000,21000
10,11,195,1,1000,21000
11,12,196,1,1000,21000
12,13,197,1,1000,21000
13,14,198,1,1000,21000
14,15,199,1,1000,21000
15,16,200,1,1000,21000
16,17,201,1,1000,21000
17,18,202,1,1000,21000
18,19,203,1,1000,21000
19,20,204,1,1000,21000
20,21,205,-1,-1000,21000
21,22,206,-1,1000,21000
22,23,207,-1,1000,21000
23,24,208,-1,1000,21000
24,25,209,-1,1000,21000
25,26,210,-1,1000,21000
26,27,211,-1,1000,21000
27,28,212,-1,1000,21000
28,29,213,-1,1000,21000
29,30,214,-1,1000,21000
30,31,215,-1,1000,21000
31,32,216,1,-1000,21000
32,33,217,-1,-1000,21000
33,34,218,1,-1000,21000
34,35,219,1,1000,21000
35,36,220,-1,-1000,21000
36,37,221,1,-1000,21000
37,38,222,-1,-1000,21000
38,39,223,1,-1000,21000
39,40,224,-1,-1000,21000
40,41,225,-1,1000,21000
41,42,226,-1,1000,21000
42,43,227,-1,1000,21000
43,44,228,-1,1000,21000
44,45,229,1,-1000,21000
45,46,230,-1,-1000,21000
46,47,231,-1,1000,21000
47,48,232,-1,1000,21000
48,49,233,1,-1000,21000
49,50,234,-1,-1000,21000
50,51,235,-1,1000,21000
51,52,236,1,-1000,21000
52,53,237,1,1000,21000
53,54,238,1,1000,21000
54,55,239,-1,-1000,21000
55,56,240,-1,1000,21000
56,57,241,1,-1000,21000
57,58,242,-1,-1000,21000
58,59,243,-1,1000,21000
59,60,244,-1,1000,21000
60,61,245,-1,1000,21000
61,62,246,1,-1000,21000
62,63,247,1,1000,21000
63,64,248,1,1000,21000
64,65,249,-1,-1000,21000
65,66,250,-1,1000,21000
66,67,251,1,-1000,21000
67,68,252,1,1000,21000
68,69,253,-1,-1000,21000
69,70,254,-1,1000,21000
70,71,255,1,-1000,21000
71,72,256,1,1000,21000
72,73,257,1,1000,21000
73,74,258,-1,-1000,21000
74,75,259,-1,1000,21000
75,76,260,1,-1000,21000
76,77,261,-1,-1000,21000
77,78,262,1,-1000,21000
