,Unnamed: 0,case,result,get
0,0,277,-1,0
1,2,278,1,-1000
2,3,279,-1,-1000
3,4,280,1,-1000
4,5,281,-1,-1000
5,6,282,-1,1000
6,7,283,1,-1000
7,8,284,-1,-1000
8,9,285,1,-1000
9,10,286,1,1000
10,11,287,1,1000
11,12,288,1,1000
12,13,289,-1,-1000
13,14,290,1,-1000
14,15,291,-1,-1000
15,16,292,-1,1000
16,17,293,1,-1000
17,18,294,1,1000
18,19,295,-1,-1000
19,20,296,-1,1000
20,21,297,1,-1000
21,22,298,1,1000
22,23,299,-1,-1000
23,24,300,1,-1000
24,25,301,-1,-1000
25,26,302,1,-1000
26,27,303,1,1000
27,28,304,1,1000
28,29,305,-1,-1000
29,30,306,-1,1000
30,31,307,-1,1000
31,32,308,-1,1000
32,33,309,1,-1000
33,34,310,-1,-1000
34,35,311,-1,1000
35,36,312,1,-1000
36,37,313,1,1000
37,38,314,1,1000
38,39,315,1,1000
39,40,316,-1,-1000
40,41,317,1,-1000
41,42,318,-1,-1000
42,43,319,1,-1000
43,44,320,-1,-1000
44,45,321,-1,1000
45,46,322,-1,1000
46,47,323,-1,1000
47,48,324,-1,1000
48,49,325,-1,1000
49,50,326,-1,1000
50,51,327,-1,1000
51,52,328,1,-1000
52,53,329,-1,-1000
53,54,330,-1,1000
54,55,331,1,-1000
55,56,332,-1,-1000
56,57,333,-1,1000
57,58,334,1,-1000
58,59,335,-1,-1000
59,60,336,-1,1000
60,61,337,-1,1000
61,62,338,1,-1000
62,63,339,1,1000
63,64,340,1,1000
64,65,341,1,1000
65,66,342,-1,-1000
66,67,343,1,-1000
67,68,344,1,1000
68,69,345,1,1000
69,70,346,1,1000
70,71,347,-1,-1000
71,72,348,-1,1000
72,73,349,-1,1000
73,74,350,1,-1000
74,75,351,1,1000
75,76,352,-1,-1000
76,77,353,1,-1000
77,78,354,-1,-1000
78,79,355,-1,1000
79,80,356,1,-1000
80,81,357,1,1000
